platform,Rank,Name,Price,Chg 24H,Chg 7D,Market Cap,Vol (24h),IDO ROI USD,ATH IDO ROI USD,IDO Date,Raised,seedify,seedify,red kite,red kite,bscpad,bscpad,paid,paid,polka,polka,tpad,tpad,dao maker,dao maker,btc price,btc price,,,,init mcap,init FDMC,launchpad,symbol
SFUND,,AltavaTAVA,N/A,N/A,N/A,N/A,N/A,,,17 Feb,"$400,000",,,,,,,,,,,,,,,,,,,AltavaTAVA,,,SFUND
SFUND,,Universe IslandUIM,N/A,N/A,N/A,N/A,N/A,,,22 Dec 2021,"$300,000",,,,,,,,,,,,,,,,,,,Universe IslandUIM,"495,600","21,000,000",SFUND
SFUND,,Plutonians DAOPLD,N/A,N/A,N/A,N/A,N/A,,,11 Feb,"$700,000",,,red kite,ath,,,,,,,,,,,,,,,Plutonians DAOPLD,,,SFUND
PKF,308,BloktopiaBLOK,$0.02,0.0749,-22.60%,$ 140.49M,$ 6.48M,67.38,698.26,29 Sep 2021,"$250,000",,,67.38,698.26,,,,,,,,,,,,,,,BloktopiaBLOK,,,PKF
PKF,625,GameFiGAFI,$40.16,0.0038,-18.10%,$ 34.34M,$ 471.65K,40.16,366.99,N/A,"$108,000",,,40.16,366.99,,,,,,,,,,,,,,,GameFiGAFI,,,PKF
PKF,1718,Dreams QuestDREAMS,$0.02,0.0752,-27.70%,$ 1.20M,$ 108.01K,1.67,152.65,14 Oct 2021,"$125,000",,,1.67,152.65,,,,,,,,,,,,,,,Dreams QuestDREAMS,,,PKF
PKF,$686.00,SpaceCryptoSPG,$0.67,-14.40%,-58.60%,$ 26.68M,$ 1.60M,26.68,117.32,21 Dec 2021,"$125,000",,,26.68,117.32,,,,,,,,,,,,,,,SpaceCryptoSPG,,,PKF
PKF,817,Sidus HeroesSIDUS,$0.04,0.0048,-27.30%,$ 17.83M,$ 663.59K,23.22,109.29,14 Dec 2021,"$174,982",,,23.22,109.29,,,,,,,,,,,,,,,Sidus HeroesSIDUS,,,PKF
PKF,"$1,331",MetaWarsWARS,$0.07,0.0747,-32.20%,$ 4.33M,$ 222.33K,8.74,96.84,26 Oct 2021,"$110,000",,,8.74,96.84,,,,,,,,,,,,,,,MetaWarsWARS,,,PKF
PKF,460,SoliceSLC,$1.55,0.133,-4.92%,$ 66.95M,$ 1.04M,22.14,70.81,19 Dec 2021,"$98,000",,,22.14,70.81,,,,,,,,,,,,,,,SoliceSLC,,,PKF
PKF,,DeathRoadDRACE,$0.01,-6.38%,-16.10%,$ 618.35K,$ 9.60K,1.98,70.67,4 Sep 2021,"$103,000",,,1.98,70.67,,,,,,,,,,,,,,,DeathRoadDRACE,,,PKF
PKF,2040,The KillboxKBOX,$0.00,-72.70%,-80.30%,$ 120.28K,$ 1.40M,0.57,53.83,22 Nov 2021,"$146,400",,,0.57,53.83,,,,,,,,,,,,,,,The KillboxKBOX,,,PKF
PKF,"$1,692.00",Ftribe FightersF2C,$0.03,0.0437,N/A,$ 1.33M,$ 22.35K,1.25,51.85,17 Dec 2021,"$125,000",,,1.25,51.85,,,,,,,,,,,,,,,Ftribe FightersF2C,,,PKF,F2C
PKF,1884,Meta SpatialSPAT,$0.10,0.0209,0.172,$ 525.65K,$ 49.66K,1,47.54,4 Nov 2021,"$132,000",,,1,47.54,,,,,,,,,,,,,,,Meta SpatialSPAT,,,PKF
PKF,"$1,681",Polygonum OnlinePOG,$0.17,-8.22%,-37.30%,$ 1.39M,$ 200.98K,2.09,45,27 Nov 2021,"$100,000",,,2.09,45,,,,,,,,,,,,,,,Polygonum OnlinePOG,,,PKF
PKF,1484,GunStar MetaverseGST,$0.13,-5.66%,-48.10%,$ 2.70M,$ 324.54K,3.74,42.3,24 Nov 2021,"$140,000",,,3.74,42.3,,,,,,,,,,,,,,,GunStar MetaverseGST,,,PKF
PKF,1430,WarenaRENA,$0.44,0.0384,-36%,$ 3.22M,$ 514.97K,2.67,40.52,2 Oct 2021,"$97,000",,,2.67,40.52,,,,,,,,,,,,,,,WarenaRENA,,,PKF
PKF,1619,MyMasterWarMAT,$0.16,0.0077,-13.90%,$ 1.72M,$ 56.80K,1.35,39.74,28 Sep 2021,"$150,000",,,1.35,39.74,,,,,,,,,,,,,,,MyMasterWarMAT,,,PKF
PKF,$887.00,Sin CitySIN,$0.13,0.217,-1.38%,$ 14.23M,$ 936.99K,6.64,37.27,16 Oct 2021,"$150,000",,,6.64,37.27,,,,,,,,,,,,,,,Sin CitySIN,,,PKF
PKF,1306,Dark FrontiersDARK,$0.20,-5.62%,-35.20%,$ 4.65M,$ 741.33K,3.94,35.99,2 Oct 2021,"$97,000",,,3.94,35.99,,,,,,,,,,,,,,,Dark FrontiersDARK,,,PKF
PKF,"$1,450",KryptomonKMON,$0.05,0.0545,-37.90%,$ 3.04M,$ 308.85K,6.9,34.51,22 Aug 2021,"$110,000",,,6.9,34.51,,,,,,,,,,,,,,,KryptomonKMON,,,PKF
PKF,1753,Aspo WorldASPO,$0.10,-21.40%,-8.41%,$ 1.02M,$ 531.59K,1.97,33.65,13 Nov 2021,"$130,000",,,1.97,33.65,,,,,,,,,,,,,,,Aspo WorldASPO,,,PKF
PKF,1274,Sidus Heroes DAOSENATE,$1.19,0.0027,-29.50%,$ 5.08M,$ 59.01K,6.62,32.55,14 Dec 2021,"$174,982",,,6.62,32.55,,,,,,,,,,,,,,,Sidus Heroes DAOSENATE,,,PKF
PKF,1113,FaraLandFARA,$0.33,-1.51%,-18.20%,$ 7.58M,$ 88.61K,1.82,32.28,11 Jun 2021,"$100,000",,,1.82,32.28,,,,,,,,,,,,,,,FaraLandFARA,,,PKF
PKF,"$1,848.00",Planet SandboxPSB,$0.17,-7.46%,-32%,$ 657.39K,$ 29.39K,1.38,32.22,1 Oct 2021,N/A,,,1.38,32.22,,,,,,,,,,,,,,,Planet SandboxPSB,,,PKF
PKF,1936,Step HeroHERO,$0.06,0.0376,-27.40%,$ 367.30K,$ 33.62K,0.61,31.6,14 Aug 2021,"$120,000",,,0.61,31.6,,,,,,,,,,,,,,,Step HeroHERO,,,PKF
PKF,,MytheriaMYRA,$0.27,0.0298,-19.10%,N/A,$ 134.04K,1.99,28.79,15 Nov 2021,"$105,000",,,1.99,28.79,,,,,,,,,,,,,,,MytheriaMYRA,,,PKF
PKF,1628,SpaceY2025SPAY,$4.20,0.003,-26.90%,$ 1.68M,$ 26.53K,1.05,27.84,20 Nov 2021,"$150,000",,,1.05,27.84,,,,,,,,,,,,,,,SpaceY2025SPAY,,,PKF
PKF,1398,ShopNEXTNEXT,$0.04,-0.24%,-34.30%,$ 3.42M,$ 334.19K,2.72,26.25,28 Nov 2021,"$135,000",,,2.72,26.25,,,,,,,,,,,,,,,ShopNEXTNEXT,,,PKF
PKF,,Kaby ArenaKABY,$0.01,-2.09%,-4.40%,$ 1.03M,$ 10.12K,1.53,24.97,26 Aug 2021,"$110,000",,,1.53,24.97,,,,,,,,,,,,,,,Kaby ArenaKABY,,,PKF
PKF,"$1,432.00",Rikkei FinanceRIFI,$0.13,0.0364,-2.84%,$ 3.17M,$ 42.14K,1.34,23.92,6 Dec 2021,"$100,000",,,1.34,23.92,,,,,,,,,,,,,,,Rikkei FinanceRIFI,,,PKF
PKF,,HeroverseHER,$0.01,-2.14%,-10.50%,$ 294.71K,$ 9.79K,0.74,23.76,22 Sep 2021,"$165,000",,,0.74,23.76,,,,,,,,,,,,,,,HeroverseHER,,,PKF
PKF,"$1,445",ErthaERTHA,$0.12,-0.72%,-31.90%,$ 3.07M,$ 1.05M,6.75,23.32,20 Dec 2021,"$250,000",,,6.75,23.32,,,,,,,,,,,,,,,ErthaERTHA,,,PKF
PKF,,BunicornBUNI,$0.02,0.0222,-18.60%,$ 431.53K,$ 1.37K,0.58,20.5,11 Jul 2021,"$100,000",,,0.58,20.5,,,,,,,,,,,,,,,BunicornBUNI,,,PKF
PKF,,DareNFTDNFT,$0.00,0.0224,-25.10%,$ 171.29K,$ 9.88K,0.36,20.33,12 Oct 2021,"$100,000",,,0.36,20.33,,,,,,,,,,,,,,,DareNFTDNFT,,,PKF
PKF,1816,PlaceWar Governance TokenPLACE,$0.02,0.0519,-57.60%,$ 803.53K,$ 72.56K,1.61,19.26,11 Nov 2021,"$140,000",,,1.61,19.26,,,,,,,,,,,,,,,PlaceWar Governance TokenPLACE,,,PKF
PKF,"$1,382.00",Revolve GamesRPG,$0.18,-9.78%,-30.80%,$ 3.64M,$ 64.82K,1.77,19.1,N/A,N/A,,,1.77,19.1,,,,,,,,,,,,,,,Revolve GamesRPG,,,PKF
PKF,1911,Mech MasterMECH,$0.03,N/A,-30.60%,$ 421.42K,$ 25.48K,0.85,18.55,22 Oct 2021,"$147,000",,,0.85,18.55,,,,,,,,,,,,,,,Mech MasterMECH,,,PKF
PKF,"$2,020",Monsters ClanMONS,$0.10,-0.33%,-6.24%,$ 158.17K,$ 94.01K,0.65,17.74,14 Sep 2021,"$100,000",,,0.65,17.74,,,,,,,,,,,,,,,Monsters ClanMONS,,,PKF
PKF,1260,DeFi WarriorFIWA,$0.00,0.006,-27.50%,$ 5.22M,$ 19.89K,0.93,13.91,5 Sep 2021,"$100,000",,,0.93,13.91,,,,,,,,,,,,,,,DeFi WarriorFIWA,,,PKF
PKF,1808,PolkaRAREPRARE,$0.02,0.0514,-18.60%,$ 834.31K,$ 156.97K,0.17,13.83,10 May 2021,"$50,000",,,0.17,13.83,,,,,,,,,,,,,,,PolkaRAREPRARE,,,PKF
PKF,1650,LabelLBL,$0.01,0.191,-17.40%,$ 1.58M,$ 546.09K,4.89,10.32,16 Dec 2021,"$100,000",,,4.89,10.32,,,,,,,,,,,,,,,LabelLBL,,,PKF
PKF,"$1,101.00",Unbound FinanceUNB,$0.01,0.0858,-7.22%,$ 7.84M,$ 168.85K,0.67,10.01,12 Dec 2021,"$75,000",,,0.67,10.01,,,,,,,,,,,,,,,Unbound FinanceUNB,,,PKF
PKF,,PrometheusMGA,$0.39,0.0249,-1.89%,$ 346.91K,$ 10.31K,0.56,9.93,29 Nov 2021,"$130,000",,,0.56,9.93,,,,,,,,,,,,,,,PrometheusMGA,,,PKF
