id,rank,slug,name,symbol,category,startDate,endDate,type,tokensForSale,hardCap,raised,ICO_price,ieoPlatformExchange.id,ieoPlatformExchange.name,ieoPlatformExchange.slug,tokenRole,totalTokensForSale,status.code,,,,,,,,,,,,,,,,,
2132,88,nexo,Nexo,NEXO,Financial services,3/6/2018 0:00:00,4/1/2018 0:00:00,ICO,0,52500000,,0.1,,,,,,200,,,,,,,,,,,,,,,,,
173314,91,stepn,STEPN,GMT,Entertainment,3/2/2022 0:00:00,3/9/2022 0:00:00,IEO,420000000,,,0.01,2,Binance,binance,,,200,,,,,,,,,,,,,,,,,
173314,91,stepn,STEPN,GMT,Entertainment,,,Private,978000000,,,0.005,,,,,,200,,,,,,,,,,,,,,,,,
20620,92,celo,Celo,CELO,Financial services,1/1/2018 0:00:00,1/1/2018 0:00:00,Private,0,,,0.18,,,,Utility,122900000,200,,,,,,,,,,,,,,,,,
20620,92,celo,Celo,CELO,Financial services,1/1/2019 0:00:00,1/1/2019 0:00:00,Private,0,,,1,,,,Utility,122900000,200,,,,,,,,,,,,,,,,,
20620,92,celo,Celo,CELO,Financial services,4/29/2020 0:00:00,5/12/2020 0:00:00,ICO,10000000,,,1,,,,Utility,122900000,200,,,,,,,,,,,,,,,,,
10426,93,kadena,Kadena,KDA,Blockchain infrastructure,11/4/2019 0:00:00,11/22/2019 0:00:00,ICO,20000000,10000000,,0.5,,,,Utility,,200,,,,,,,,,,,,,,,,,
10426,93,kadena,Kadena,KDA,Blockchain infrastructure,11/4/2019 0:00:00,11/22/2019 0:00:00,ICO,10000000,10000000,,1,,,,Utility,,200,,,,,,,,,,,,,,,,,
10426,93,kadena,Kadena,KDA,Blockchain infrastructure,,,Private,1125000,,,0.5,,,,Utility,,200,,,,,,,,,,,,,,,,,
10426,93,kadena,Kadena,KDA,Blockchain infrastructure,,,Private,9675000,,,0.75,,,,Utility,,200,,,,,,,,,,,,,,,,,
78266,94,mina-protocol,Mina Protocol,MINA,Blockchain infrastructure,4/13/2021 0:00:00,4/16/2021 0:00:00,ICO,75000000,,,0.25,,,,Utility,,200,,,,,,,,,,,,,,,,,
78266,94,mina-protocol,Mina Protocol,MINA,Blockchain infrastructure,,,Seed,0,,,0.07,,,,Utility,,200,,,,,,,,,,,,,,,,,
78266,94,mina-protocol,Mina Protocol,MINA,Blockchain infrastructure,,,Private,0,,,0.15,,,,Utility,,200,,,,,,,,,,,,,,,,,
78266,94,mina-protocol,Mina Protocol,MINA,Blockchain infrastructure,,,Strategic,0,,,0.25,,,,Utility,,200,,,,,,,,,,,,,,,,,
2121,95,holo,Holo,HOT,Cloud Storage,3/29/2018 0:00:00,4/28/2018 0:00:00,ICO,0,20400000,,0.0002,,,,,,200,,,,,,,,,,,,,,,,,
7139,101,gatechain-token,GateToken,GT,Exchange token,4/8/2019 0:00:00,4/21/2019 0:00:00,IEO,0,83000000,,0.4,23,Gate.io,gateio,Utility,,200,,,,,,,,,,,,,,,,,
6192,102,oasis-network,Oasis Network,ROSE,Cloud Computing,,,Private,0,,,0.03,,,,Utility,,200,,,,,,,,,,,,,,,,,
6192,102,oasis-network,Oasis Network,ROSE,Cloud Computing,,,ICO,31500000,,,,,,,Utility,,200,,,,,,,,,,,,,,,,,
2234,107,iotex,IoTeX,IOTX,IOT,,2/15/2018 0:00:00,ICO,0,,,0.007,,,,,,200,,,,,,,,,,,,,,,,,
101,108,gnosis-gno,Gnosis,GNO,Blockchain infrastructure,,4/24/2017 0:00:00,ICO,0,,,25.51,,,,,,200,,,,,,,,,,,,,,,,,
21,116,omisego,OMG Network,OMG,Network,6/23/2017 0:00:00,6/23/2017 0:00:00,ICO,0,25000000,,0.35,,,,,,200,,,,,,,,,,,,,,,,,
77,117,iostoken,IOStoken,IOST,Blockchain infrastructure,,1/3/2018 0:00:00,ICO,0,31300000,,0.01,,,,,,200,,,,,,,,,,,,,,,,,
8276,118,swipe,Swipe,SXP,Financial services,8/1/2019 0:00:00,8/1/2019 0:00:00,Private,19575000,,,0.2,,,,Utility,,200,,,,,,,,,,,,,,,,,
8276,118,swipe,Swipe,SXP,Financial services,8/2/2019 0:00:00,8/9/2019 0:00:00,ICO,40425000,,,0.2,,,,Utility,,200,,,,,,,,,,,,,,,,,
50244,119,anchor-protocol,Anchor Protocol,ANC,DeFi,,,Private,0,,,0.1,,,,Utility,,200,,,,,,,,,,,,,,,,,
50244,119,anchor-protocol,Anchor Protocol,ANC,DeFi,3/17/2021 0:00:00,3/16/2021 0:00:00,IDO,0,,,0.05,,,,Utility,,200,,,,,,,,,,,,,,,,,
3841,122,ankr-network,Ankr Network,ANKR,Cloud Computing,9/16/2018 0:00:00,9/22/2018 0:00:00,ICO,500000000,,,0.0066,,,,Utility,,200,,,,,,,,,,,,,,,,,
3841,122,ankr-network,Ankr Network,ANKR,Cloud Computing,4/1/2018 0:00:00,7/1/2018 0:00:00,Private/Pre-sale,3000000000,,,0.0044,,,,Utility,,200,,,,,,,,,,,,,,,,,
8773,124,kava,Kava,KAVA,DeFi,10/23/2019 0:00:00,10/24/2019 0:00:00,IEO,6521739,3000000,,0.46,2,Binance,binance,Utility,,200,,,,,,,,,,,,,,,,,
8773,124,kava,Kava,KAVA,DeFi,6/15/2019 0:00:00,6/30/2019 0:00:00,Private,30050000,2253750,,0.075,,,,Utility,,200,,,,,,,,,,,,,,,,,
8773,124,kava,Kava,KAVA,DeFi,7/15/2019 0:00:00,7/31/2019 0:00:00,Private,5020000,1255000,,0.25,,,,Utility,,200,,,,,,,,,,,,,,,,,
8773,124,kava,Kava,KAVA,DeFi,8/15/2019 0:00:00,8/31/2019 0:00:00,Private,4930000,1972000,,0.4,,,,Utility,,200,,,,,,,,,,,,,,,,,
24,126,icon,ICON,ICX,Blockchain infrastructure,9/20/2017 0:00:00,9/20/2017 0:00:00,ICO,0,42800000,,0.11,,,,,,200,,,,,,,,,,,,,,,,,
21001,129,skale,Skale,SKL,Network,9/3/2020 0:00:00,9/5/2020 0:00:00,ICO,167139884,,,0.03,,,,Utility,,200,,,,,,,,,,,,,,,,,
86,130,bancor,Bancor,BNT,Blockchain Service,,6/12/2017 0:00:00,ICO,0,,,3.92,,,,,,200,,,,,,,,,,,,,,,,,
105,131,wax,WAX,WAXP,Gaming,11/15/2017 0:00:00,11/29/2017 0:00:00,ICO,0,9600000,,0.32,,,,,,200,,,,,,,,,,,,,,,,,
162643,134,glimmer,Moonbeam,GLMR,Blockchain infrastructure,,,Seed,140000000,,,0.01,,,,Utility,,200,,,,,,,,,,,,,,,,,
162643,134,glimmer,Moonbeam,GLMR,Blockchain infrastructure,,,Strategic,120000000,,,0.05,,,,Utility,,200,,,,,,,,,,,,,,,,,
162643,134,glimmer,Moonbeam,GLMR,Blockchain infrastructure,9/7/2021 0:00:00,9/10/2021 0:00:00,ICO,100000000,,,0.25,,,,Utility,,200,,,,,,,,,,,,,,,,,
42,136,0x,0x Protocol,ZRX,Exchange token,8/12/2017 0:00:00,8/16/2017 0:00:00,ICO,0,24000000,,0.048,,,,,,200,,,,,,,,,,,,,,,,,
90739,137,radio-caca,Radio Caca,RACA,Non-Fungible Tokens (NFT),8/27/2021 0:00:00,8/27/2021 0:00:00,IEO,100000000,,,0.000723554,23,Gate.io,gateio,Utility,,200,,,,,,,,,,,,,,,,,
25944,140,e-radix,e-Radix,EXRD,Protocol,10/8/2020 0:00:00,,ICO,642000000,,,0.039,,,,Utility,,200,,,,,,,,,,,,,,,,,
165915,144,immutable-x,Immutable X,IMX,Non-Fungible Tokens (NFT),11/5/2021 0:00:00,11/5/2021 0:00:00,IEO,6000000,,,0.16,35,Huobi Global,huobipro,Utility,,200,,,,,,,,,,,,,,,,,
165915,144,immutable-x,Immutable X,IMX,Non-Fungible Tokens (NFT),9/8/2021 0:00:00,,ICO,40000000,,,0.1,,,,Utility,,200,,,,,,,,,,,,,,,,,
165915,144,immutable-x,Immutable X,IMX,Non-Fungible Tokens (NFT),9/8/2021 0:00:00,,ICO,60000000,,,0.15,,,,Utility,,200,,,,,,,,,,,,,,,,,
165915,144,immutable-x,Immutable X,IMX,Non-Fungible Tokens (NFT),,,Private,285200000,,,0.1,,,,Utility,,200,,,,,,,,,,,,,,,,,
7374,146,ecomi,Ecomi,OMI,Blockchain Service,5/12/2019 0:00:00,5/14/2019 0:00:00,IEO,780000,,,0.000078,57,Bitforex,bitforex,Utility,10000000000,200,,,,,,,,,,,,,,,,,
1546,148,ontology,Ontology,ONT,Blockchain infrastructure,,1/8/2018 0:00:00,ICO,0,,,0.2,,,,Utility,,200,,,,,,,,,,,,,,,,,
26300,150,rally,Rally ,RLY,DeFi,4/1/2021 0:00:00,4/3/2021 0:00:00,ICO,40000000,,,0.6,,,,Utility,,200,,,,,,,,,,,,,,,,,
100743,159,apenft,APENFT,NFT,Blockchain Service,5/20/2021 0:00:00,5/20/2021 0:00:00,IEO,3999960000000,,,0.000000072,35,Huobi Global,huobipro,Utility,,200,,,,,,,,,,,,,,,,,
100743,159,apenft,APENFT,NFT,Blockchain Service,5/20/2021 0:00:00,5/20/2021 0:00:00,IEO,15999840000000,,,0.000000132,35,Huobi Global,huobipro,Utility,,200,,,,,,,,,,,,,,,,,
147,161,telcoin,Telcoin,TEL,Mobile,12/12/2017 0:00:00,12/31/2017 0:00:00,ICO,0,25000000,,0.0013,,,,,,200,,,,,,,,,,,,,,,,,
20649,165,just,Just,JST,Exchange token,2/1/2020 0:00:00,2/1/2020 0:00:00,Private,1089000000,,,0.003,,,,Utility,1485000000,200,,,,,,,,,,,,,,,,,
20649,165,just,Just,JST,Exchange token,5/5/2020 0:00:00,5/5/2020 0:00:00,IEO,396000000,799920,,0.00202,13,Poloniex,poloniex,Utility,1485000000,200,,,,,,,,,,,,,,,,,
1235,167,republic-protocol,Ren,REN,DeFi,2/3/2018 0:00:00,2/3/2018 0:00:00,ICO,0,34400000,,0.0571,,,,,,200,,,,,,,,,,,,,,,,,
3455,168,constellation,Constellation Labs,DAG,Blockchain infrastructure,,6/15/2018 0:00:00,ICO,0,,,0.0345,,,,,,200,,,,,,,,,,,,,,,,,
21402,170,serum,Serum,SRM,Exchange token,8/7/2020 0:00:00,8/7/2020 0:00:00,IEO,3000000,,,0.17,84,AscendEX,bitmax,Utility,,200,,,,,,,,,,,,,,,,,
