,id,rank,name,symbol,category,tokenRole,totalTokensForSale,endDate,type,tokensForSale,startDate,ieoPlatformExchange,ICO_price,intended_raise,hardCap,softCap,actual_raised,platform,date_1,price_1,sale_1,cumulative_realized_ROI_1,date_2,price_2,sale_2,cumulative_realized_ROI_2,date_3,price_3,sale_3,cumulative_realized_ROI_3,date_4,price_4,sale_4,cumulative_realized_ROI_4,date_5,price_5,sale_5,cumulative_realized_ROI_5,date_6,price_6,sale_6,cumulative_realized_ROI_6
1564,91153,,Freela,FREL,DeFi,Utility,,2021-05-27,IDO,12500000,2021-05-27,,0.01,125000.0,,,,"['BSCPAD', 'POOLZ']",2022-02-19 00:00:00+00:00,0.00090563,0.00016923960625000003,0.016923960625,2022-03-21 00:00:00+00:00,0.00046024,8.98187125e-05,0.025905831875000004,2022-04-20 00:00:00+00:00,0.000365082591,5.992627905980744e-05,0.03189845978098075,,,,,,,,,,,,
505,91182,1179.0,HoDooi,HOD,Marketplace,Utility,,2021-06-14,IDO,5555556,2021-06-14,,0.045,250000.0,,,,"['PAID', 'duck']",2022-02-19 00:00:00+00:00,0.05821899,0.010879673756250001,0.2417705279166667,2022-03-21 00:00:00+00:00,0.04013269,0.0078321452828125,0.4158182008680556,2022-04-20 00:00:00+00:00,0.036667192557,0.006018715949976581,0.5495674442008684,,,,,,,,,,,,
953,91246,2020.0,NFTMart,NMT,Marketplace,Utility,,2021-05-25,IEO,300000,2021-05-24,"{'id': 23, 'name': 'Gate.io', 'slug': 'gateio'}",0.25,75000.0,,,,['AUCTION'],2022-02-19 00:00:00+00:00,0.02328711,0.004351778681250001,0.017407114725000002,2022-03-21 00:00:00+00:00,0.01370074,0.002673785040625,0.028102254887500004,2022-04-20 00:00:00+00:00,0.01222109832,0.0020060253936941734,0.0361263564622767,,,,,,,,,,,,
1059,91250,,PolkaCipher,CPHR,Blockchain Service,Utility,,2021-07-20,IDO,9000000,2021-07-20,,0.017,153000.0,,,,"['TPAD', 'LPOOL']",2022-02-19 00:00:00+00:00,0.00739631,0.00138218543125,0.08130502536764705,2022-03-21 00:00:00+00:00,0.00792117,0.0015458658328125,0.1722383096507353,2022-04-20 00:00:00+00:00,0.003395646646,0.0005573765320863936,0.20502516447934666,,,,,,,,,,,,
1310,91261,,Kwikswap,KWIK,Exchange token,Utility,,2021-05-25,IDO,5500000,2021-05-25,,0.2,1100000.0,,,,"['zendit', 'cyberfi']",,,,,,,,,,,,,,,,,,,,,,,,
802,91271,1757.0,NiiFi,NIIFI,DeFi,Utility,,2021-06-02,IDO,5000000,2021-06-02,,0.045,225000.0,,,,['POLS'],2022-02-19 00:00:00+00:00,0.02103976,0.00393180515,0.0873734477777778,2022-03-21 00:00:00+00:00,0.01767855,0.0034500795234375004,0.16404188163194444,2022-04-20 00:00:00+00:00,0.010844086632,0.0017799965752351074,0.2035973610816135,,,,,,,,,,,,
2054,91273,,Paralink Network,PARA,Blockchain Service,Utility,,2021-05-24,IDO,6666666,2021-05-24,,0.045,300000.0,,,,['POLS'],2022-02-19 00:00:00+00:00,0.00787994,0.0014725637875000002,0.032723639722222225,2022-03-21 00:00:00+00:00,0.00619033,0.0012080815890625,0.05956989725694445,2022-04-20 00:00:00+00:00,0.005306554065,0.0008710413686779865,0.07892637211645526,,,,,,,,,,,,
445,94595,1049.0,Dogami,DOGA,Gaming,Utility,1333334.0,2022-03-22,IEO,1333334,2022-03-21,"{'id': 23, 'name': 'Gate.io', 'slug': 'gateio'}",0.075,6100000.0,,,,,2022-03-29 00:00:00+00:00,0.233125323783,0.04356529488194813,0.5808705984259751,2022-04-28 00:00:00+00:00,0.18794091094,0.036677843400634375,1.0699085104344335,,,,,,,,,,,,,,,,
945,94735,2007.0,ForceCowBoy,FCB,Gaming,Utility,,2021-10-09,IDO,25000000000,2021-10-08,,1e-05,250000.0,,,,,2022-02-22 00:00:00+00:00,7.63e-06,1.42585625e-06,0.142585625,2022-03-24 00:00:00+00:00,7.958956e-06,1.553240006875e-06,0.2979096256875,2022-04-23 00:00:00+00:00,1.0510396e-05,1.7252231118439822e-06,0.47043193687189816,,,,,,,,,,,,
1455,94847,,WIZARD,WIZARD,Gaming,Utility,,2021-07-15,IDO,200000,2021-07-15,,0.5,100000.0,,,,,2022-02-19 00:00:00+00:00,0.48549831,0.09072749668125,0.1814549933625,2022-03-21 00:00:00+00:00,0.51091774,0.09970879019687501,0.38087257375625005,2022-04-20 00:00:00+00:00,0.363680234179,0.05969608997857384,0.5002647537133977,,,,,,,,,,,,
528,95165,1234.0,FaraLand,FARA,Gambling and betting,Utility,,2021-06-12,IDO,555556,2021-06-12,,0.18,100000.0,,,,['PKF'],2022-02-19 00:00:00+00:00,0.37996342,0.0710056641125,0.39447591173611113,2022-03-21 00:00:00+00:00,0.31492428,0.06145944151875,0.7359172535069445,2022-04-20 00:00:00+00:00,0.30611939175,0.0502477974788697,1.0150716839451095,,,,,,,,,,,,
225,99991,552.0,VEGA Protocol,VEGA,Blockchain infrastructure,Utility,,2021-09-03,IEO,6666,2021-09-03,"{'id': 23, 'name': 'Gate.io', 'slug': 'gateio'}",15.0,100000.0,,,,,2022-02-19 00:00:00+00:00,5.06059279,0.9456982776312501,0.06304655184208334,2022-03-21 00:00:00+00:00,4.53316029,0.8846745628453124,0.12202485603177085,2022-04-20 00:00:00+00:00,4.173114641017,0.684993584167241,0.16769109497625356,,,,,,,,,,,,
397,100055,958.0,OpenOcean,OOE,Trading and investment,Utility,,2021-07-12,IDO,3750000,2021-07-12,,0.04,150000.0,,,,"['POLS', 'DAO']",2022-02-19 00:00:00+00:00,0.13096873,0.024474781418750004,0.6118695354687501,2022-03-21 00:00:00+00:00,0.10596625,0.0206799759765625,1.1288689348828127,2022-04-20 00:00:00+00:00,0.087767696252,0.014406579737552503,1.489033428321625,,,,,,,,,,,,
386,100429,937.0,Hot Cross,HOTCROSS,Blockchain Service,Utility,,2021-05-20,IEO,5000000,2021-05-18,"{'id': 36, 'name': 'Kucoin', 'slug': 'kucoin'}",0.05,250000.0,,,,['pacake'],2022-02-19 00:00:00+00:00,0.25039285,0.046792163843750005,0.935843276875,2022-03-21 00:00:00+00:00,0.17126511,0.0334234566234375,1.60431240934375,2022-04-20 00:00:00+00:00,0.224725055405,0.03688736936221294,2.342059796588009,,,,,,,,,,,,
1569,100437,,X22,X22,DeFi,Utility,,2021-07-19,IDO,520833,2021-07-19,,0.48,250000.0,,,,,2022-02-19 00:00:00+00:00,0.02738589,0.005117738193750001,0.010661954570312502,2022-03-21 00:00:00+00:00,0.01461653,0.0028525071828125,0.016604677867838542,2022-04-20 00:00:00+00:00,0.010490105708,0.0017218925731369288,0.020191954061873813,,,,,,,,,,,,
356,100545,847.0,PolyDoge,POLYDOGE,Meme,Utility,,2021-11-11,IEO,1951574920962,2021-11-10,"{'id': 23, 'name': 'Gate.io', 'slug': 'gateio'}",7.6861e-08,150000.0,,,,,2022-02-19 00:00:00+00:00,2e-08,3.7375e-09,0.04862674178061696,2022-03-21 00:00:00+00:00,1e-08,1.9515625000000002e-09,0.07401754465853945,2022-04-20 00:00:00+00:00,1.222e-08,2.005845110568e-09,0.10011459141265401,,,,,,,,,,,,
