,id,rank,slug,name,symbol,category,rounds,tokenRole,totalTokensForSale
34,112,82.0,enjin-coin,Enjin Coin,ENJ,Gaming,"[{'startDate': '2017-10-03', 'endDate': '2017-11-01', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.0512, 'hardCap': 25000000, 'raise': 22959609}, 'BTC': {'price': 7.918e-06}, 'ETH': {'price': 0.00017}}}]",,
35,36,85.0,waves,Waves,WAVES,Blockchain infrastructure,"[{'endDate': '2018-05-31', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.188}, 'BTC': {'price': 2.50462646850506e-05}, 'ETH': {'price': 0.000328266346954022}}}]",,
36,53,89.0,basic-attention-token,Basic Attention Token,BAT,Advertising,"[{'endDate': '2017-05-31', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.04}, 'BTC': {'price': 1.83679535357469e-05}, 'ETH': {'price': 0.00018025}}}]",,
37,64,91.0,loopring,Loopring,LRC,DeFi,"[{'endDate': '2017-08-16', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.06}, 'BTC': {'price': 1.44606146369382e-05}, 'ETH': {'price': 0.000205575178768077}}}]",,
38,1572,92.0,synthetix,Synthetix,SNX,DeFi,"[{'startDate': '2018-02-26', 'endDate': '2018-02-28', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.67, 'hardCap': 30000000, 'raise': 30000000}, 'BTC': {'price': 6.3333e-05}}}]",,
39,101,94.0,gnosis-gno,Gnosis,GNO,Blockchain infrastructure,"[{'endDate': '2017-04-24', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 25.51}, 'BTC': {'price': 0.0193486657788529}, 'ETH': {'price': 0.486208229025296}}}]",,
40,7484,96.0,harmony,Harmony,ONE,Blockchain infrastructure,"[{'startDate': '2019-05-27', 'endDate': '2019-05-29', 'type': 'IEO', 'tokensForSale': 1575000000, 'values': {'USD': {'price': 0.003175, 'raise': 5000000}}, 'ieoPlatformExchange': {'id': 2, 'name': 'Binance', 'slug': 'binance'}}, {'endDate': '2018-12-31', 'type': 'Private/Pre-sale', 'tokensForSale': 0, 'values': {'USD': {'price': 0.0065}}}]",Utility,1575000000.0
41,4023,97.0,blockstack,Stacks,STX,Blockchain infrastructure,"[{'startDate': '2019-07-11', 'endDate': '2019-09-11', 'type': 'ICO', 'tokensForSale': 62000000, 'values': {'USD': {'price': 0.3, 'raise': 18600000}, 'BTC': {'price': 3.169e-05}, 'ETH': {'price': 0.001587}}}, {'type': 'Pre-sale', 'tokensForSale': 78333333, 'values': {'USD': {'price': 0.12, 'raise': 9400000}}}]",Security,
42,78266,100.0,mina-protocol,Mina Protocol,MINA,Blockchain infrastructure,"[{'startDate': '2021-04-13', 'endDate': '2021-04-16', 'type': 'ICO', 'tokensForSale': 75000000, 'values': {'USD': {'price': 0.25, 'raise': 18750000}}}, {'type': 'Seed', 'tokensForSale': 0, 'values': {'USD': {'price': 0.07, 'raise': 3500000}}}, {'type': 'Private', 'tokensForSale': 0, 'values': {'USD': {'price': 0.15, 'raise': 15000000}}}, {'type': 'Strategic', 'tokensForSale': 0, 'values': {'USD': {'price': 0.25, 'raise': 10900000}}}]",Utility,
43,10426,104.0,kadena,Kadena,KDA,Blockchain infrastructure,"[{'startDate': '2019-11-04', 'endDate': '2019-11-22', 'type': 'ICO', 'tokensForSale': 20000000, 'values': {'USD': {'raise': 10000000, 'hardCap': 10000000, 'price': 0.5}}}, {'startDate': '2019-11-04', 'endDate': '2019-11-22', 'type': 'ICO', 'tokensForSale': 10000000, 'values': {'USD': {'raise': 10000000, 'hardCap': 10000000, 'price': 1}}}, {'type': 'Private', 'tokensForSale': 1125000, 'values': {'USD': {'price': 0.5, 'raise': 2250000}}}, {'type': 'Private', 'tokensForSale': 9675000, 'values': {'USD': {'price': 0.75, 'raise': 12900000}}}]",Utility,
44,8773,105.0,kava,Kava,KAVA,DeFi,"[{'startDate': '2019-10-23', 'endDate': '2019-10-24', 'type': 'IEO', 'tokensForSale': 6521739, 'values': {'USD': {'price': 0.46, 'hardCap': 3000000, 'raise': 3000000}, 'BNB': {'price': 0.0258}, 'BTC': {'price': 6.22e-05}}, 'ieoPlatformExchange': {'id': 2, 'name': 'Binance', 'slug': 'binance'}}, {'startDate': '2019-06-15', 'endDate': '2019-06-30', 'type': 'Private', 'tokensForSale': 30050000, 'values': {'USD': {'price': 0.075, 'hardCap': 2253750, 'raise': 2253750}}}, {'startDate': '2019-07-15', 'endDate': '2019-07-31', 'type': 'Private', 'tokensForSale': 5020000, 'values': {'USD': {'price': 0.25, 'hardCap': 1255000, 'raise': 1255000}}}, {'startDate': '2019-08-15', 'endDate': '2019-08-31', 'type': 'Private', 'tokensForSale': 4930000, 'values': {'USD': {'price': 0.4, 'hardCap': 1972000, 'raise': 1972000}}}]",Utility,
45,20620,106.0,celo,Celo,CELO,Financial services,"[{'startDate': '2018-01-01', 'endDate': '2018-01-01', 'type': 'Private', 'tokensForSale': 0, 'values': {'USD': {'price': 0.18, 'raise': 6000000}}}, {'startDate': '2019-01-01', 'endDate': '2019-01-01', 'type': 'Private', 'tokensForSale': 0, 'values': {'USD': {'price': 1, 'raise': 30000000}}}, {'startDate': '2020-04-29', 'endDate': '2020-05-12', 'type': 'ICO', 'tokensForSale': 10000000, 'values': {'USD': {'price': 1, 'raise': 10000000}}}]",Utility,122900000.0
46,2121,108.0,holo,Holo,HOT,Cloud Storage,"[{'startDate': '2018-03-29', 'endDate': '2018-04-28', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.0002, 'hardCap': 20400000, 'raise': 20388500}, 'BTC': {'price': 2.16195928776056e-08}, 'ETH': {'price': 2.267e-07, 'hardCap': 30250}}}]",,
47,86,111.0,bancor,Bancor,BNT,Blockchain Service,"[{'endDate': '2017-06-12', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 3.92, 'raise': 153000000}, 'ETH': {'price': 0.01}}}]",,
48,77,113.0,iostoken,IOStoken,IOST,Blockchain infrastructure,"[{'endDate': '2018-01-03', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.01, 'hardCap': 31300000, 'raise': 31255000}, 'BTC': {'price': 6.7121099177042e-07}, 'ETH': {'price': 1.14396454044705e-05, 'hardCap': 35000}}}]",,
49,21,114.0,omisego,OMG Network,OMG,Network,"[{'startDate': '2017-06-23', 'endDate': '2017-06-23', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.35, 'hardCap': 25000000, 'raise': 25000000}, 'ETH': {'price': 0.001}}}]",,
50,21402,117.0,serum,Serum,SRM,Exchange token,"[{'startDate': '2020-08-07', 'endDate': '2020-08-07', 'type': 'IEO', 'tokensForSale': 3000000, 'values': {'USD': {'price': 0.17, 'raise': 510000}}, 'ieoPlatformExchange': {'id': 84, 'name': 'AscendEX', 'slug': 'bitmax'}}, {'startDate': '2020-08-07', 'endDate': '2020-08-07', 'type': 'IEO', 'tokensForSale': 3000000, 'values': {'USD': {'price': 0.17, 'raise': 510000}}, 'ieoPlatformExchange': {'id': 127, 'name': 'FTX', 'slug': 'ftx'}}]",Utility,
51,3995,124.0,celsius,Celsius,CEL,Financial services,"[{'startDate': '2018-03-16', 'endDate': '2018-03-22', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.3, 'hardCap': 50000000, 'raise': 50000000}}}]",,
